t,ABS_RX,ABS_RY,ABS_RZ,ABS_X,ABS_Y,ABS_Z
1654431146.743758,127,126,0,135,0,255
1654431146.779762,127,125,0,137,0,255
1654431146.8197722,126,125,0,136,0,255
1654431146.8598745,126,126,0,136,0,255
1654431146.8957534,125,126,0,137,0,255
1654431146.9316733,125,126,0,136,0,255
1654431146.967677,127,127,0,136,0,240
1654431147.0036824,127,126,0,136,0,214
1654431147.0397742,126,125,0,135,0,199
1654431147.075802,125,125,0,136,0,190
1654431147.111791,126,126,0,137,0,181
1654431147.1477025,127,127,0,135,0,169
1654431147.1838682,127,126,0,136,0,160
1654431147.2196815,127,125,0,135,0,150
1654431147.2557216,126,125,0,136,0,143
1654431147.2917721,126,125,0,136,0,138
1654431147.327772,126,126,0,136,0,132
1654431147.3637638,126,126,0,136,0,112
1654431147.399806,127,126,0,135,0,104
1654431147.4359,127,125,0,136,0,101
1654431147.4717963,126,126,0,136,0,103
1654431147.5076933,126,126,0,136,0,103
1654431147.5437546,126,126,0,136,0,99
1654431147.5797596,126,126,0,136,0,88
1654431147.6158485,126,126,0,135,0,72
1654431147.6519196,126,125,0,136,0,48
1654431147.687981,126,126,0,136,0,0
1654431147.723889,126,126,0,136,0,0
1654431147.7598293,127,126,0,135,0,0
1654431147.795935,127,126,0,135,0,0
1654431147.831992,126,125,0,135,0,0
1654431147.8679452,127,125,0,136,0,0
1654431147.908017,126,125,0,136,0,0
1654431147.9439383,126,126,0,137,0,0
1654431147.9799397,126,126,0,136,0,0
1654431148.0239623,126,126,0,135,0,0
1654431148.0599515,126,126,0,136,0,0
1654431148.095884,127,126,0,136,0,0
1654431148.1360009,127,126,0,137,0,0
1654431148.172088,126,126,0,136,0,0
1654431148.2079914,126,126,0,136,0,0
1654431148.248025,126,126,0,135,0,0
1654431148.2840164,126,126,0,136,0,0
1654431148.319884,127,126,0,136,0,0
1654431148.359963,126,125,0,136,0,0
1654431148.3999596,127,126,0,136,0,0
1654431148.4359865,126,126,0,136,0,0
1654431148.4719841,125,126,0,136,0,0
1654431148.5079718,126,126,0,136,0,0
